PRECIP (MM),EVAP (MM),TMAX (°C),TMIN (°C)
0.0,,,
0.0,,,
0.0,,,
0.0,,,
4.5,,,
0.0,,,
7.0,,,
10.5,,,
3.5,,,
20.0,,,
37.0,,,
59.0,,,
0.0,,,
0.0,,,
0.0,,,
28.0,,,
1.5,,,
0.0,,,
1.5,,,
0.0,,,
0.0,,,
31.5,,,
31.5,,,
0.0,,,
1.0,,,
0.0,,,
4.0,,,
0.0,,,
80.0,,,
4.5,,,
0.0,,,
6.5,,,
3.0,,,
13.5,,,
0.0,,,
0.0,,,
0.0,,,
11.0,,,
21.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
15.0,,,
0.0,,,
0.0,,,
6.5,,,
0.0,,,
22.5,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
56.0,,,
53.0,,,
11.0,,,
46.0,,,
0.0,,,
20.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
13.5,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
9.0,,,
20.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
26.0,,,
40.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
20.0,,,
0.0,,,
0.0,,,
26.0,,,
5.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
12.0,,,
12.5,,,
1.5,,,
0.0,5.452487078540986,34.0,9.0
0.0,3.4010430118256334,29.0,10.0
0.0,3.7983215758140068,31.0,7.0
0.0,3.0546987286577,30.0,12.0
0.0,3.128750000000001,24.0,13.0
0.0,1.561714285714286,24.0,15.0
0.0,3.0253364135864125,29.0,2.0
0.0,3.5775136337896316,32.0,6.0
0.0,2.513876587301588,24.0,4.0
0.0,2.901285064935063,32.0,2.0
0.0,4.986500000000007,35.0,1.0
0.0,4.427607540494422,34.0,5.0
0.0,2.901285064935063,32.0,2.0
0.0,5.2840141413520225,35.0,7.0
0.0,5.055095361344786,34.0,12.0
0.0,6.111302689728535,36.0,10.0
4.0,1.9468571428571426,27.0,14.0
14.0,2.0410000000000004,23.0,15.0
25.0,2.551,24.0,17.0
89.0,3.4850000000000017,23.0,8.0
0.0,3.5014166666666635,28.0,17.0
14.0,2.7159999999999975,28.0,12.0
29.0,2.618999999999998,18.0,12.0
0.0,1.5164999999999993,25.0,12.0
0.0,3.575943312466911,30.0,11.0
0.0,3.579493289352214,31.0,9.0
0.0,3.1055287091887247,30.0,9.0
0.0,3.4766245999123466,29.0,9.0
0.0,3.052502654536608,31.0,10.0
0.0,3.4766245999123466,29.0,9.0
0.0,4.933216811298396,34.0,11.0
0.0,4.039758847310535,32.0,8.0
0.0,3.1224674722250585,32.0,12.0
0.0,3.118338699042645,30.0,10.0
0.0,2.5633952380952376,25.0,10.0
0.0,2.957750288600291,24.0,5.0
0.0,3.2829531934960166,29.0,4.0
0.0,2.4753773809523825,26.0,3.0
0.0,3.5728595485611736,29.0,5.0
0.0,4.1647732738034575,33.0,8.0
0.0,5.228830415417916,36.0,6.0
0.0,4.426987121212122,35.0,5.0
0.0,4.775033547008548,38.0,8.0
0.0,5.228830415417916,36.0,6.0
0.0,4.05159278452484,32.0,9.0
0.0,5.482939304402774,34.0,10.0
0.0,4.060248048205252,33.0,9.0
0.0,3.7983215758140068,31.0,7.0
0.0,4.039758847310535,32.0,8.0
0.0,6.111302689728535,36.0,10.0
0.0,4.05159278452484,32.0,9.0
0.0,3.9442007243349284,32.0,5.0
0.0,3.837033333333332,32.0,4.0
0.0,5.421590404792146,36.0,7.0
0.0,5.435956655280291,35.0,9.0
0.0,7.161075396825397,39.0,9.0
0.0,7.161075396825397,39.0,9.0
0.0,3.9319333333333315,35.0,4.0
0.0,5.300649818563791,36.0,8.0
0.0,6.1758265873015805,38.0,7.0
0.0,6.145232564002319,36.0,9.0
0.0,3.8370434569561285,33.0,7.0
0.0,5.228830415417916,36.0,6.0
0.0,4.160419930601922,35.0,8.0
0.0,4.060248048205252,33.0,9.0
0.0,5.300649818563791,36.0,8.0
0.0,7.607428571428574,39.0,8.0
0.0,7.4077041114986795,38.0,10.0
0.0,7.923768001443006,39.0,10.0
0.0,6.7754789248220595,37.0,14.0
0.0,7.7998361043396445,38.0,11.0
0.0,6.708454185123205,36.0,13.0
0.0,4.160419930601922,35.0,8.0
0.0,9.040851368076373,39.0,11.0
0.0,2.7568088189588194,30.0,13.0
0.0,3.5775136337896316,32.0,6.0
0.0,5.421590404792146,36.0,7.0
0.0,8.451242882057743,39.0,12.0
0.0,4.933216811298396,34.0,11.0
0.0,6.3503926073926085,38.0,9.0
0.0,8.274000877629584,38.0,12.0
0.0,5.298161344781885,34.0,13.0
0.0,3.2003658863299838,30.0,8.0
0.0,4.3739142135642135,32.0,15.0
0.0,3.1224674722250585,32.0,12.0
0.0,5.495071725763821,35.0,11.0
0.0,4.871263793931407,33.0,10.0
0.0,4.9615926561901365,34.0,14.0
0.0,4.797097580614331,35.0,12.0
0.0,3.579493289352214,31.0,9.0
0.0,3.2003658863299838,30.0,8.0
0.0,3.8370434569561285,33.0,7.0
13.0,3.1797847081202777,32.0,9.0
3.0,2.604565079365078,25.0,6.0
0.0,3.4766245999123466,29.0,9.0
0.0,3.118338699042645,30.0,10.0
0.0,5.418306441239183,35.0,15.0
0.0,8.274000877629584,38.0,12.0
0.0,4.314197363715256,33.0,12.0
0.0,6.145232564002319,36.0,9.0
0.0,5.435956655280291,35.0,9.0
0.0,8.274000877629584,38.0,12.0
0.0,3.19850476698604,31.0,12.0
0.0,6.981015059945424,37.0,15.0
0.0,7.304537949574011,37.0,12.0
2.0,7.732596627714389,39.0,17.0
0.0,7.406279126429129,38.0,17.0
0.0,8.620519811270752,38.0,19.0
0.0,9.787675367036234,40.0,15.0
0.0,9.186104632363753,39.0,16.0
0.0,9.223508333333328,41.0,19.0
0.0,9.223508333333328,41.0,19.0
0.0,9.792431564513919,40.0,13.0
0.0,6.179343186329533,36.0,12.0
0.0,9.186104632363753,39.0,16.0
0.0,9.792431564513919,40.0,13.0
0.0,9.223508333333328,41.0,19.0
0.0,8.774291508165035,39.0,14.0
0.0,6.179343186329533,36.0,12.0
0.0,10.611103643578645,41.0,15.0
0.0,9.792431564513919,40.0,13.0
0.0,9.787675367036234,40.0,15.0
0.0,8.641771345182427,39.0,15.0
0.0,8.451242882057743,39.0,12.0
0.0,9.202687186764308,39.0,17.0
0.0,6.7754789248220595,37.0,14.0
0.0,10.611103643578645,41.0,15.0
0.0,9.580666558441557,42.0,17.0
0.0,8.74196533980725,39.0,19.0
0.0,9.979600747601323,40.0,18.0
0.0,9.795374306249306,41.0,20.0
0.0,9.622376651453123,41.0,17.0
0.0,9.998751998001996,40.0,20.0
0.0,10.483039646464652,41.0,18.0
0.0,9.792431564513919,40.0,13.0
0.0,9.787675367036234,40.0,15.0
0.0,8.641771345182427,39.0,15.0
0.0,8.620519811270752,38.0,19.0
0.0,9.867659007659011,41.0,23.0
0.0,9.202687186764308,39.0,17.0
0.0,9.507414285714281,42.0,15.0
0.0,10.359649999999997,43.0,18.0
0.0,9.479555154176266,40.0,25.0
0.0,8.620519811270752,38.0,19.0
0.0,10.322135790516672,40.0,19.0
0.0,10.583299999999992,42.0,18.0
0.0,7.7864374831290375,40.0,21.0
0.0,10.851707539682543,42.0,19.0
0.0,9.433783333333341,42.0,20.0
0.0,8.150174603174603,41.0,21.0
0.0,9.463141297866219,40.0,23.0
0.0,9.626043284493282,41.0,16.0
0.0,9.442647509293563,39.0,18.0
0.0,9.463141297866219,40.0,23.0
0.0,9.797480457042962,41.0,25.0
0.0,9.854400000000014,42.0,21.0
0.0,9.391670368603705,40.0,22.0
0.0,9.854400000000014,42.0,21.0
0.0,9.795374306249306,41.0,20.0
0.0,9.998751998001996,40.0,20.0
0.0,9.348104287765898,39.0,21.0
0.0,9.797480457042962,41.0,25.0
0.0,6.616128484930962,37.0,20.0
0.0,5.13271526765551,36.0,19.0
4.2,8.089706709956715,39.0,25.0
0.2,6.698510645974202,37.0,22.0
0.0,4.875732354397967,35.0,23.0
16.2,7.7909999999999995,40.0,25.0
0.0,8.74196533980725,39.0,19.0
0.0,9.463141297866219,40.0,23.0
0.0,9.797480457042962,41.0,25.0
0.0,9.697846121933617,40.0,26.0
0.0,9.463141297866219,40.0,23.0
0.0,9.463141297866219,40.0,23.0
0.0,9.391670368603705,40.0,22.0
0.0,9.19455886570445,39.0,25.0
27.0,10.189499999999995,41.0,22.0
3.0,7.729765395085206,38.0,21.0
0.0,5.953031992849211,37.0,23.0
5.5,6.9530000000000065,40.0,25.0
14.5,6.985999999999998,40.0,23.0
0.0,7.641604956154957,38.0,22.0
38.5,7.581999999999994,36.0,22.0
0.0,9.320194721582649,39.0,20.0
12.0,7.232385288587128,38.0,21.0
10.0,7.857999999999992,35.0,23.0
4.0,3.9785119047619,34.0,22.0
28.5,5.018999999999995,35.0,20.0
11.0,6.776299052429055,39.0,20.0
0.0,7.852693675988747,38.0,21.0
2.2,4.452816666666662,33.0,22.0
5.5,4.902,36.0,22.0
0.0,5.844850058219545,36.0,24.0
0.0,9.463141297866219,40.0,23.0
0.0,8.648882389602463,39.0,24.0
0.0,9.463141297866219,40.0,23.0
12.2,7.232385288587128,38.0,21.0
0.0,5.694139861948023,36.0,22.0
4.5,5.920265890698904,38.0,23.0
37.5,5.982,33.0,23.0
71.5,5.326999999999995,32.0,21.0
3.5,3.9653002864539557,34.0,20.0
4.0,6.6957,37.0,23.0
0.0,4.875732354397967,35.0,23.0
40.5,8.919999999999991,36.0,22.0
0.0,3.846233484842383,33.0,23.0
0.0,3.846233484842383,33.0,23.0
0.0,6.698510645974202,37.0,22.0
74.5,5.799999999999999,33.0,23.0
0.0,9.510358333333334,41.0,22.0
0.0,9.391670368603705,40.0,22.0
0.0,6.159893565838189,37.0,25.0
60.0,8.691000000000003,35.0,23.0
1.0,3.8343630952380967,34.0,22.0
10.5,4.633166666666671,33.0,24.0
0.0,5.2083164086106395,36.0,23.0
0.0,3.81701079835384,33.0,22.0
21.0,7.025306349206346,38.0,22.0
0.0,5.098277522789198,35.0,22.0
0.0,9.080873516796588,38.0,20.0
0.0,9.388586281496362,39.0,22.0
51.5,9.261999999999999,38.0,23.0
0.0,7.7864374831290375,40.0,21.0
0.0,8.648882389602463,39.0,24.0
0.0,7.120714285714286,39.0,26.0
0.0,6.825145113200474,37.0,24.0
0.0,5.953031992849211,37.0,23.0
1.0,7.716660131927309,38.0,21.0
2.0,4.748533333333336,36.0,24.0
0.0,7.641604956154957,38.0,22.0
0.0,4.755155011435458,35.0,21.0
9.5,7.805766666666667,39.0,21.0
0.0,4.875732354397967,35.0,23.0
2.5,4.245614285714287,35.0,25.0
0.0,6.159893565838189,37.0,25.0
6.5,6.818750000000001,39.0,26.0
0.0,7.641604956154957,38.0,22.0
45.0,8.609999999999994,39.0,25.0
0.5,8.649964521372361,40.0,24.0
0.0,3.2474423659673666,33.0,25.0
0.0,5.0088366584839505,35.0,24.0
9.2,6.431999999999992,38.0,24.0
0.0,6.159893565838189,37.0,25.0
0.0,7.641604956154957,38.0,22.0
38.0,5.197999999999994,35.0,22.0
23.0,3.632000000000005,33.0,22.0
2.0,3.7920499999999997,34.0,22.0
0.0,6.299592803321601,38.0,23.0
27.0,6.912999999999993,37.0,23.0
17.0,6.149799999999999,35.0,22.0
0.0,6.299592803321601,38.0,23.0
0.0,9.19455886570445,39.0,25.0
37.5,5.464999999999995,35.0,24.0
0.0,4.291658208050968,34.0,23.0
0.0,7.852693675988747,38.0,21.0
0.0,9.388586281496362,39.0,22.0
0.0,7.275657328480174,38.0,25.0
0.0,9.388586281496362,39.0,22.0
0.0,8.29400073566416,39.0,23.0
0.0,6.299592803321601,38.0,23.0
0.0,8.29400073566416,39.0,23.0
0.0,9.611143676986924,40.0,24.0
0.0,7.275657328480174,38.0,25.0
0.0,9.391670368603705,40.0,22.0
2.0,3.944430158730158,34.0,24.0
0.0,9.388586281496362,39.0,22.0
0.0,6.698510645974202,37.0,22.0
0.0,2.0,38.0,23.0
0.5,4.942466666666666,36.0,23.0
1.0,7.207177278277278,38.0,22.0
0.0,6.825145113200474,37.0,24.0
0.0,7.053357913867189,38.0,24.0
0.1,4.875732354397967,35.0,23.0
0.0,7.852693675988747,38.0,21.0
7.0,5.702539005487187,36.0,21.0
0.0,5.098277522789198,35.0,22.0
0.0,2.270047619047622,30.0,20.0
28.5,3.7753999999999985,31.0,20.0
0.0,6.616128484930962,37.0,20.0
0.0,9.388586281496362,39.0,22.0
12.5,3.150733333333335,32.0,23.0
12.3,2.934799999999998,25.0,19.0
0.0,4.15634009869439,35.0,18.0
0.0,4.3663661664845,34.0,18.0
0.0,7.453452981787733,36.0,17.0
0.0,8.352323100244485,38.0,18.0
0.0,6.616128484930962,37.0,20.0
0.0,8.74196533980725,39.0,19.0
0.0,7.275657328480174,38.0,25.0
0.0,6.981015059945424,37.0,15.0
0.0,6.238801082200549,36.0,15.0
0.0,4.15634009869439,35.0,18.0
0.0,7.4273382556871335,37.0,18.0
0.0,8.620519811270752,38.0,19.0
0.0,9.320194721582649,39.0,20.0
0.0,6.498882209663804,37.0,21.0
0.0,7.096639189469801,37.0,17.0
0.0,7.909863045704437,38.0,15.0
0.0,7.576795900096636,38.0,14.0
0.0,7.576795900096636,38.0,14.0
7.3,4.093563258690203,35.0,17.0
22.0,5.495999999999999,34.0,20.0
0.0,3.5765613997113985,29.0,18.0
0.0,4.119345221121135,34.0,20.0
2.0,1.4406666666666665,24.0,20.0
0.0,3.575943312466911,30.0,11.0
0.0,5.452487078540986,34.0,9.0
0.0,3.1224674722250585,32.0,12.0
0.0,4.991196975942874,35.0,19.0
2.0,2.477249126381433,31.0,12.0
5.0,2.4964666666666666,31.0,19.0
0.0,4.345899999999999,28.0,20.0
0.0,4.314197363715256,33.0,12.0
0.0,5.418306441239183,35.0,15.0
0.0,6.708454185123205,36.0,13.0
0.0,4.3739142135642135,32.0,15.0
0.0,4.058384451659452,31.0,15.0
0.0,3.945287839937841,28.0,14.0
0.0,3.377277469091899,31.0,6.0
0.0,3.8370434569561285,33.0,7.0
0.0,2.7987842216349175,29.0,12.0
0.0,3.8151315480142483,31.0,14.0
0.0,4.110465476190476,29.0,14.0
0.0,5.298161344781885,34.0,13.0
0.0,3.19850476698604,31.0,12.0
0.0,3.2503070321692786,31.0,11.0
0.0,3.0851060049171455,28.0,8.0
0.0,5.292681011010129,34.0,7.0
0.0,3.579493289352214,31.0,9.0
0.0,7.4077041114986795,38.0,10.0
0.0,6.579971188452072,37.0,9.0
0.0,4.05159278452484,32.0,9.0
0.0,3.575943312466911,30.0,11.0
0.0,4.060248048205252,33.0,9.0
0.0,5.321904447693234,35.0,10.0
0.0,3.579493289352214,31.0,9.0
0.0,4.1647732738034575,33.0,8.0
0.0,4.1647732738034575,33.0,8.0
0.0,4.018558786354195,32.0,10.0
0.0,3.7983215758140068,31.0,7.0
8.5,2.370983532992113,30.0,7.0
0.0,1.9533333333333334,21.0,14.0
0.0,2.4965000000000015,25.0,16.0
3.0,1.675,26.0,13.0
0.0,3.0468611111111117,28.0,13.0
0.0,2.8313985708735703,27.0,11.0
0.0,1.5164999999999993,25.0,12.0
1.0,1.353916666666666,27.0,11.0
1.0,1.9610833333333333,26.0,10.0
0.0,3.4766245999123466,29.0,9.0
0.0,4.185902380952381,29.0,15.0
0.0,4.458969047619046,30.0,17.0
0.0,3.377277469091899,31.0,6.0
0.0,3.9442007243349284,32.0,5.0
0.0,3.5078471907993958,33.0,5.0
0.0,3.6099705459043383,29.0,7.0
0.0,2.7568088189588194,30.0,13.0
0.0,3.8151315480142483,31.0,14.0
1.0,3.8538438934079404,33.0,10.0
0.0,3.6099705459043383,29.0,7.0
0.0,4.27589186469114,32.0,11.0
0.0,3.19850476698604,31.0,12.0
0.0,2.9912577416048016,29.0,11.0
0.0,3.118338699042645,30.0,10.0
0.0,4.27589186469114,32.0,11.0
0.0,4.871263793931407,33.0,10.0
0.0,3.4766245999123466,29.0,9.0
0.0,4.363544705982574,30.0,5.0
0.0,3.327484581094781,30.0,7.0
0.0,3.040629466577289,30.0,6.0
0.0,3.4974878352856305,31.0,3.0
0.0,3.9442007243349284,32.0,5.0
0.0,4.003196743534245,31.0,4.0
0.0,3.9442007243349284,32.0,5.0
0.0,3.040629466577289,30.0,6.0
0.0,3.299629437229437,26.0,6.0
0.0,3.7412818181818235,27.0,2.0
0.0,2.9772577256077266,30.0,3.0
0.0,3.327484581094781,30.0,7.0
0.0,3.2003658863299838,30.0,8.0
0.0,3.7873727439227425,33.0,4.0
0.0,4.1647732738034575,33.0,8.0
0.0,3.775915530915238,32.0,7.0
0.0,3.5728595485611736,29.0,5.0
0.0,3.5775136337896316,32.0,6.0
0.0,3.2801113840306555,29.0,8.0
0.0,5.292681011010129,34.0,7.0
0.0,3.5078471907993958,33.0,5.0
16.5,2.0220000000000002,25.0,14.0
2.0,1.2441666666666678,22.0,13.0
0.0,3.5728595485611736,29.0,5.0
0.0,4.060248048205252,33.0,9.0
0.0,3.9442007243349284,32.0,5.0
2.0,3.8674967956060367,33.0,9.0
4.0,1.4382999999999995,25.0,11.0
0.0,1.5164999999999993,25.0,12.0
0.0,3.1055287091887247,30.0,9.0
0.0,4.05159278452484,32.0,9.0
0.0,3.052502654536608,31.0,10.0
0.0,3.1055287091887247,30.0,9.0
0.0,5.321904447693234,35.0,10.0
0.0,4.846008488288955,33.0,11.0
0.0,3.19850476698604,31.0,12.0
0.0,4.933216811298396,34.0,11.0
0.0,5.321904447693234,35.0,10.0
0.0,4.933216811298396,34.0,11.0
0.0,6.111302689728535,36.0,10.0
0.0,4.314197363715256,33.0,12.0
0.0,3.0546987286577,30.0,12.0
0.0,4.058384451659452,31.0,15.0
0.0,5.321904447693234,35.0,10.0
0.0,4.018558786354195,32.0,10.0
0.0,3.575943312466911,30.0,11.0
0.0,6.111302689728535,36.0,10.0
0.0,5.228830415417916,36.0,6.0
0.0,3.775915530915238,32.0,7.0
0.0,3.52657730025603,31.0,8.0
1.0,1.0740000000000005,21.0,12.0
0.0,3.5728595485611736,29.0,5.0
0.0,3.377277469091899,31.0,6.0
0.0,3.775915530915238,32.0,7.0
0.0,3.52657730025603,31.0,8.0
0.0,3.040629466577289,30.0,6.0
0.0,3.5775136337896316,32.0,6.0
0.0,3.327484581094781,30.0,7.0
0.0,4.039758847310535,32.0,8.0
0.0,3.579493289352214,31.0,9.0
0.0,5.482939304402774,34.0,10.0
0.0,4.039758847310535,32.0,8.0
0.0,5.482939304402774,34.0,10.0
0.0,7.304537949574011,37.0,12.0
0.0,5.122413953366894,33.5,12.0
0.0,2.10945,24.5,10.5
0.0,3.052502654536608,31.0,10.0
0.0,4.018558786354195,32.0,10.0
0.0,3.7352940476190457,31.5,4.0
0.0,3.333222971472972,30.0,5.5
0.0,3.4406789321789306,30.0,4.0
0.0,3.279014460539461,32.0,4.5
0.0,5.435956655280291,35.0,9.0
0.0,4.846008488288955,33.0,11.0
0.0,4.314197363715256,33.0,12.0
0.0,4.363544705982574,30.0,5.0
0.0,4.3739142135642135,32.0,15.0
0.0,3.2503070321692786,31.0,11.0
0.0,3.775915530915238,32.0,7.0
0.0,3.655281716231824,33.0,6.0
0.0,3.8370434569561285,33.0,7.0
0.0,3.052502654536608,31.0,10.0
0.0,6.3503926073926085,38.0,9.0
0.0,5.140897692585195,37.0,7.0
0.0,6.145437994250119,36.0,11.0
0.0,6.946015291816089,37.0,10.0
0.0,4.670146039375533,35.0,13.0
0.0,5.321904447693234,35.0,10.0
0.0,6.152967971802493,37.0,11.0
0.0,6.145232564002319,36.0,9.0
0.0,5.321904447693234,35.0,10.0
0.0,6.7754789248220595,37.0,14.0
0.0,8.200246125116712,35.5,13.0
0.0,6.989811111111112,38.0,9.5
0.0,4.933216811298396,34.0,11.0
0.0,7.7998361043396445,38.0,11.0
0.0,6.179343186329533,36.0,12.0
0.0,7.4077041114986795,38.0,10.0
0.0,7.4077041114986795,38.0,10.0
0.0,9.01460218392719,40.0,12.0
0.0,9.081466993300818,41.0,12.0
0.0,9.251313980463982,40.0,16.0
0.0,8.199156746031749,41.0,13.0
0.0,9.507414285714281,42.0,15.0
0.0,9.626043284493282,41.0,16.0
0.0,9.626043284493282,41.0,16.0
0.0,10.020157142857132,42.0,16.0
0.0,7.7864374831290375,40.0,21.0
0.0,10.322135790516672,40.0,19.0
0.0,10.483039646464652,41.0,18.0
0.0,9.979600747601323,40.0,18.0
0.0,9.223508333333328,41.0,19.0
0.0,8.641771345182427,39.0,15.0
0.0,5.436975325499805,35.0,14.0
0.0,5.055095361344786,34.0,12.0
0.0,9.01460218392719,40.0,12.0
0.0,5.13271526765551,36.0,19.0
0.0,8.451242882057743,39.0,12.0
0.0,8.74196533980725,39.0,19.0
0.0,6.981015059945424,37.0,15.0
0.0,9.251313980463982,40.0,16.0
0.0,9.223508333333328,41.0,19.0
0.0,8.620519811270752,38.0,19.0
0.0,8.676143020868022,40.0,14.0
0.0,10.583299999999992,42.0,18.0
0.0,10.322135790516672,40.0,19.0
0.0,9.787675367036234,40.0,15.0
0.0,9.172776301400699,40.0,17.0
0.0,7.406279126429129,38.0,17.0
0.0,9.442647509293563,39.0,18.0
0.0,7.6574636469657715,37.0,16.0
0.0,4.350144859063591,35.0,16.0
0.0,5.157584842848192,35.0,17.0
0.0,7.576795900096636,38.0,14.0
0.0,8.068545238095234,38.5,17.0
0.0,9.209109722222225,40.0,15.5
0.0,9.251313980463982,40.0,16.0
0.0,10.483039646464652,41.0,18.0
0.0,9.663233333333341,41.5,17.5
0.0,10.583299999999992,42.0,18.0
0.0,10.322135790516672,40.0,19.0
0.0,10.611103643578645,41.0,15.0
0.0,9.580666558441557,42.0,17.0
0.0,9.622376651453123,41.0,17.0
0.0,9.433783333333341,42.0,20.0
0.0,8.60013315170811,38.0,16.0
0.0,8.676143020868022,40.0,14.0
0.0,10.322135790516672,40.0,19.0
0.0,8.620519811270752,38.0,19.0
0.0,8.352323100244485,38.0,18.0
0.0,9.320194721582649,39.0,20.0
0.0,9.979600747601323,40.0,18.0
0.0,8.74196533980725,39.0,19.0
0.0,8.352323100244485,38.0,18.0
0.0,9.172776301400699,40.0,17.0
0.0,8.74196533980725,39.0,19.0
0.0,9.979600747601323,40.0,18.0
0.0,9.998751998001996,40.0,20.0
0.0,9.442647509293563,39.0,18.0
0.0,9.998751998001996,40.0,20.0
0.0,10.583299999999992,42.0,18.0
0.0,8.74196533980725,39.0,19.0
0.0,9.510358333333334,41.0,22.0
0.0,9.731463988788988,42.0,23.0
0.0,8.620519811270752,38.0,19.0
0.0,9.391670368603705,40.0,22.0
0.0,8.620519811270752,38.0,19.0
0.0,10.801002242202241,42.0,25.0
0.0,10.346878571428574,41.0,26.0
0.0,9.891766666666667,41.0,26.5
0.0,9.918627697302698,40.5,26.0
0.0,9.19455886570445,39.0,25.0
7.0,6.579393939393939,40.5,19.0
0.0,6.825145113200474,37.0,24.0
6.5,3.6943495559995547,34.0,19.0
32.0,5.693999999999999,32.0,21.0
9.0,4.880000000000003,34.0,22.0
9.0,5.703000000000002,37.0,23.0
0.0,5.2083164086106395,36.0,23.0
9.5,7.254385288587128,38.0,21.0
0.0,4.875732354397967,35.0,23.0
2.5,7.479684612925274,39.0,23.0
0.0,6.299592803321601,38.0,23.0
0.0,5.2083164086106395,36.0,23.0
0.0,9.19455886570445,39.0,25.0
19.0,4.7490000000000006,37.0,23.0
0.0,9.611143676986924,40.0,24.0
0.0,6.299592803321601,38.0,23.0
0.0,5.2083164086106395,36.0,23.0
2.5,7.479684612925274,39.0,23.0
0.0,7.053357913867189,38.0,24.0
0.0,9.611143676986924,40.0,24.0
0.0,7.852693675988747,38.0,21.0
0.0,9.510358333333334,41.0,22.0
62.0,7.3849999999999945,40.0,22.0
1.0,3.461504243927651,32.0,22.0
5.0,5.916999999999993,38.0,25.0
0.0,4.875732354397967,35.0,23.0
19.0,8.325999999999999,40.0,25.0
0.0,6.698510645974202,37.0,22.0
23.0,6.8069999999999995,37.0,24.0
0.0,4.973794627622233,35.0,25.0
9.0,4.855000000000004,34.0,25.0
3.5,4.6785666666666685,35.0,22.0
0.0,5.694139861948023,36.0,22.0
0.0,7.053357913867189,38.0,24.0
0.0,9.19455886570445,39.0,25.0
35.0,10.577000000000007,40.0,23.0
0.0,4.611146783493878,34.0,22.0
